location,site_code,site_name,latitude,longitude,first_survey_date,last_survey_date,survey_years,total_surveys,dominant_direction,avg_depth,all_depths,depth_direction,protection_status,program,mpa
Bicheno,BI-S1,South East Governor Isle,-41.87447,148.31433,21/04/2021,15/04/2024,3,24,O,7.8,"10.1, 10.2, 10.3, 10.4, 5.1, 5.2, 5.3, 5.4","11m_N, 6m_N",No take,ATRC,Bicheno Marine Reserve
Bicheno,BI-S2,North Governor Isle,-41.86954,148.31363,21/04/2021,15/04/2024,3,24,O,7.8,"10.1, 10.2, 10.3, 10.4, 5.1, 5.2, 5.3, 5.4","11m_W, 6m_W",No take,ATRC,Bicheno Marine Reserve
Bicheno,BI-S3,Waubs Bay,-41.86864,148.30344,21/04/2021,9/04/2024,3,12,O,10.3,"10.1, 10.2, 10.3, 10.4",NULL,Fishing,ATRC,
Bicheno,BI-S4,"Blow Hole, Bicheno",-41.88012,148.30984,22/04/2021,10/04/2024,3,24,O,7.8,"10.1, 10.2, 10.3, 10.4, 5.1, 5.2, 5.3, 5.4",11m_S,Fishing,ATRC,
Bicheno,BI-S5,Halfway Point,-41.90329,148.31631,22/04/2021,9/04/2024,3,12,O,5.3,"5.1, 5.2, 5.3, 5.4",6m_E,Fishing,ATRC,
Batemans,BMP1,Guerilla Bay Island South,-35.8259,150.22657,19/05/2012,28/04/2024,3,5,SE,5.6,"4.0, 6.0, 6.1",NULL,No take multizoned,RLS,Batemans Marine Park
Batemans,BMP10,Shag Rock E,-35.98626,150.15985,2/09/2008,2/09/2008,1,2,NULL,11.1,"11.0, 11.1",NULL,No take multizoned,RLS,Batemans Marine Park
Batemans,BMP11,Shag Rock N,-35.98354,150.15798,2/09/2008,2/09/2008,1,2,NULL,9.1,"9.0, 9.1",NULL,No take multizoned,RLS,Batemans Marine Park
Batemans,BMP12,NE Pedro Point,-35.9282,150.16796,16/09/2008,16/09/2008,1,2,NULL,10.1,"10.0, 10.1",NULL,Restricted take multizoned,RLS,Batemans Marine Park
Batemans,BMP13,Moruya South Head E,-35.9072,150.16286,16/09/2008,27/11/2019,2,6,S,9.9,"10.1, 10.2, 10.3, 10.4, 9.0, 9.1",NULL,Restricted take multizoned,RLS,Batemans Marine Park
Batemans,BMP14,Burrewarra Pt S,-35.83455,150.22347,18/02/2008,28/11/2019,2,5,N,6.8,"13.0, 5.1, 5.2, 5.3, 5.4",NULL,No take multizoned,RLS,Batemans Marine Park
Batemans,BMP15,Guerilla Bay Bommie,-35.82902,150.23084,16/05/2008,16/05/2008,1,1,NULL,10,10,NULL,No take multizoned,RLS,Batemans Marine Park
Batemans,BMP16,Jimmies Is SW,-35.81964,150.23196,18/11/2008,18/11/2008,1,2,NULL,8.5,"8.0, 9.0",NULL,No take multizoned,RLS,Batemans Marine Park
